# sample:  Sample (has multiple cells)																	
# cell:    Name of the cell.																	
# mapped:  Total number of reads seen																	
# suppl:   Supplementary, secondary or QC-failed reads (filtered out)"																	
# dupl:    Reads filtered out as PCR duplicates																	
# mapq:    Reads filtered out due to low mapping quality																	
# read2:   Reads filtered out as 2nd read of pair																	
# good:    Reads used for counting.																	
# pass1:   Enough coverage? If false, ignore all columns from now"																	
# nb_p:    Negative Binomial parameter p. Constant for one sample.																	
# nb_r:    Negative Binomial parameter r. We use NB(p,r/2) * NB(p,r/2) in WC states, but NB(p,(1-a)*r)*NB(p,a*r) in WW or CC states."																	
# nb_a:    Negative Binomial parameter a (alpha) used for zero expectation (see above).																	
# bam:     Bam file of this cell																	
sample	cell	StS_score	comments_unified	comments_ADS	final	medbin	mapped	suppl	dupl	mapq	read2	good	pass1	nb_p	nb_r	nb_a	bam
HG02818	HG02818x02PE20331	1	good	no_comments_made	1	40	2461724	1320	1100407	159124	599519	601354	1	0.321961	19.605	0.1	bam/HG02818x02PE20331.sort.mdup.bam
HG02818	HG02818x02PE20332	1	good	no_comments_made	1	35	2100408	1076	921335	126689	524948	526360	1	0.321961	17.177	0.1	bam/HG02818x02PE20332.sort.mdup.bam
HG02818	HG02818x02PE20333	1	good	no_comments_made	1	46	3101584	1594	1537974	194875	682579	684562	1	0.321961	22.3179	0.1	bam/HG02818x02PE20333.sort.mdup.bam
HG02818	HG02818x02PE20334	1	good	no_comments_made	1	42	2932432	1261	1518976	164515	622793	624887	1	0.321961	20.3875	0.1	bam/HG02818x02PE20334.sort.mdup.bam
HG02818	HG02818x02PE20335	1	good	no_comments_made	1	38	2485680	1184	1188474	151372	571463	573187	1	0.321961	18.6858	0.1	bam/HG02818x02PE20335.sort.mdup.bam
HG02818	HG02818x02PE20336	0	over_BrdU	2x_brdu	0	45	2728069	1153	1273292	167422	642148	644054	1	0.321961	21.0267	0.1	bam/HG02818x02PE20336.sort.mdup.bam
HG02818	HG02818x02PE20337	0	over_BrdU	2x_brdu	0	41	2674054	1259	1287531	161725	610883	612656	1	0.321961	19.9826	0.1	bam/HG02818x02PE20337.sort.mdup.bam
HG02818	HG02818x02PE20338	1	OK	just_OK	1	6	239838	130	24338	17785	98637	98948	1	0.321961	3.22066	0.1	bam/HG02818x02PE20338.sort.mdup.bam
HG02818	HG02818x02PE20339	1	good	no_comments_made	1	44	3064601	1544	1562386	188008	655394	657269	1	0.321961	21.4168	0.1	bam/HG02818x02PE20339.sort.mdup.bam
HG02818	HG02818x02PE20340	1	good	no_comments_made	1	31	1962149	950	905205	119294	467769	468931	1	0.321961	15.2801	0.1	bam/HG02818x02PE20340.sort.mdup.bam
HG02818	HG02818x02PE20341	0	under_BrdU	incompl_BrdU_-_lots!	0	33	2431297	962	1314464	124685	494861	496325	1	0.321961	16.2392	0.1	bam/HG02818x02PE20341.sort.mdup.bam
HG02818	HG02818x02PE20342	1	good	no_comments_made	1	42	2844253	1581	1430031	169855	620525	622261	1	0.321961	20.2876	0.1	bam/HG02818x02PE20342.sort.mdup.bam
HG02818	HG02818x02PE20343	0	over_BrdU	2x_brdu	0	42	2616000	1132	1308966	143556	580388	581958	1	0.321961	19.0213	0.1	bam/HG02818x02PE20343.sort.mdup.bam
HG02818	HG02818x02PE20344	1	good	no_comments_made	1	46	2962456	1397	1424642	177699	678483	680235	1	0.321961	22.1835	0.1	bam/HG02818x02PE20344.sort.mdup.bam
HG02818	HG02818x02PE20345	1	good	no_comments_made	1	29	1680515	716	714232	103876	430291	431400	1	0.321961	14.0785	0.1	bam/HG02818x02PE20345.sort.mdup.bam
HG02818	HG02818x02PE20346	1	good	no_comments_made	1	10	414470	219	64418	29026	160123	160684	1	0.321961	5.23244	0.1	bam/HG02818x02PE20346.sort.mdup.bam
HG02818	HG02818x02PE20347	1	good	no_comments_made	1	46	2779934	1414	1237218	172582	683325	685395	1	0.321961	22.3508	0.1	bam/HG02818x02PE20347.sort.mdup.bam
HG02818	HG02818x02PE20348	1	good	no_comments_made	1	47	3196702	1573	1614341	198256	690229	692303	1	0.321961	22.5654	0.1	bam/HG02818x02PE20348.sort.mdup.bam
HG02818	HG02818x02PE20349	1	good	no_comments_made	1	37	2586789	1280	1309151	157525	558585	560248	1	0.321961	18.2641	0.1	bam/HG02818x02PE20349.sort.mdup.bam
HG02818	HG02818x02PE20350	0	over_BrdU	2x_brdu	1	38	2611402	1182	1321903	158603	563597	566117	1	0.321961	18.4478	0.1	bam/HG02818x02PE20350.sort.mdup.bam
HG02818	HG02818x02PE20351	1	good	no_comments_made	1	13	545254	257	99367	39017	202928	203685	1	0.321961	6.63853	0.1	bam/HG02818x02PE20351.sort.mdup.bam
HG02818	HG02818x02PE20352	1	good	no_comments_made	1	24	1562491	625	762085	85328	356671	357782	1	0.321961	11.6789	0.1	bam/HG02818x02PE20352.sort.mdup.bam
HG02818	HG02818x02PE20353	1	good	no_comments_made	1	34	2110644	817	984477	124622	499584	501144	1	0.321961	16.3591	0.1	bam/HG02818x02PE20353.sort.mdup.bam
HG02818	HG02818x02PE20354	1	high_Q	nice	1	38	2239043	1199	954547	143334	569190	570773	1	0.321961	18.5976	0.1	bam/HG02818x02PE20354.sort.mdup.bam
HG02818	HG02818x02PE20355	1	good	no_comments_made	1	31	1746638	898	706236	111132	463549	464823	1	0.321961	15.158	0.1	bam/HG02818x02PE20355.sort.mdup.bam
HG02818	HG02818x02PE20356	0	over_BrdU	2x_brdu	0	21	1222855	560	529767	75970	307799	308759	1	0.321961	10.0758	0.1	bam/HG02818x02PE20356.sort.mdup.bam
HG02818	HG02818x02PE20357	1	good	no_comments_made	1	16	1061122	375	532250	55900	235979	236618	1	0.321961	7.72243	0.1	bam/HG02818x02PE20357.sort.mdup.bam
HG02818	HG02818x02PE20358	1	good	no_comments_made	1	25	1611892	720	745905	97695	383254	384318	1	0.321961	12.5508	0.1	bam/HG02818x02PE20358.sort.mdup.bam
HG02818	HG02818x02PE20359	0	low_cov	empty	0	0	4616	4	36	324	2119	2133	0	0	0	0	bam/HG02818x02PE20359.sort.mdup.bam
HG02818	HG02818x02PE20360	1	good	no_comments_made	1	20	1278220	606	584837	76325	307812	308640	1	0.321961	10.0692	0.1	bam/HG02818x02PE20360.sort.mdup.bam
HG02818	HG02818x02PE20361	0	over_BrdU	2x_brdu	0	44	2470518	1393	1082417	158081	613490	615137	1	0.321961	20.0338	0.1	bam/HG02818x02PE20361.sort.mdup.bam
HG02818	HG02818x02PE20362	0.5	OK	"Hom_loss_of_4q,_some_patchy_"	1	29	1648706	766	707781	102726	418027	419406	1	0.321961	13.6905	0.1	bam/HG02818x02PE20362.sort.mdup.bam
HG02818	HG02818x02PE20363	1	good	no_comments_made	1	17	1071054	463	494484	64233	255567	256307	1	0.321961	8.35026	0.1	bam/HG02818x02PE20363.sort.mdup.bam
HG02818	HG02818x02PE20364	0	over_BrdU	2x_brdu	0	33	1993967	695	917291	110810	481916	483255	1	0.321961	15.7874	0.1	bam/HG02818x02PE20364.sort.mdup.bam
HG02818	HG02818x02PE20365	0	over_BrdU	2x_brdu	0	45	2860229	1275	1405602	174058	638631	640663	1	0.321961	20.9091	0.1	bam/HG02818x02PE20365.sort.mdup.bam
HG02818	HG02818x02PE20366	1	good	no_comments_made	1	24	1648958	813	806181	102372	369275	370317	1	0.321961	12.0911	0.1	bam/HG02818x02PE20366.sort.mdup.bam
HG02818	HG02818x02PE20367	1	good	no_comments_made	1	9	372426	189	64046	25516	141133	141542	1	0.321961	4.62332	0.1	bam/HG02818x02PE20367.sort.mdup.bam
HG02818	HG02818x02PE20368	1	good	no_comments_made	1	33	2273051	1176	1165936	135344	484483	486112	1	0.321961	15.8416	0.1	bam/HG02818x02PE20368.sort.mdup.bam
HG02818	HG02818x02PE20369	1	high_Q	nice	1	50	2977845	1549	1301969	189038	741582	743707	1	0.321961	24.2758	0.1	bam/HG02818x02PE20369.sort.mdup.bam
HG02818	HG02818x02PE20370	1	high_Q	nice	1	35	2065501	1147	894187	131919	518304	519944	1	0.321961	16.9589	0.1	bam/HG02818x02PE20370.sort.mdup.bam
HG02818	HG02818x02PE20371	1	good	no_comments_made	1	35	2279745	1236	1080557	145748	525304	526900	1	0.321961	17.1677	0.1	bam/HG02818x02PE20371.sort.mdup.bam
HG02818	HG02818x02PE20372	1	good	no_comments_made	1	31	1860134	736	821157	106584	465159	466498	1	0.321961	15.2352	0.1	bam/HG02818x02PE20372.sort.mdup.bam
HG02818	HG02818x02PE20373	1	good	no_comments_made	1	38	2461336	1321	1169472	149753	569542	571248	1	0.321961	18.6414	0.1	bam/HG02818x02PE20373.sort.mdup.bam
HG02818	HG02818x02PE20374	0	over_BrdU	2x_brdu	0	34	2279853	1139	1125607	143514	503955	505638	1	0.321961	16.4954	0.1	bam/HG02818x02PE20374.sort.mdup.bam
HG02818	HG02818x02PE20375	1	good	no_comments_made	1	13	567163	248	124671	39358	200708	202178	1	0.321961	6.59134	0.1	bam/HG02818x02PE20375.sort.mdup.bam
HG02818	HG02818x02PE20376	1	good	no_comments_made	1	49	3223720	1631	1578231	194415	723608	725835	1	0.321961	23.6712	0.1	bam/HG02818x02PE20376.sort.mdup.bam
HG02818	HG02818x02PE20377	1	good	no_comments_made	1	26	1521234	661	653285	92450	386872	387966	1	0.321961	12.6691	0.1	bam/HG02818x02PE20377.sort.mdup.bam
HG02818	HG02818x02PE20378	1	good	no_comments_made	1	38	2228977	1119	951929	143269	565432	567228	1	0.321961	18.4941	0.1	bam/HG02818x02PE20378.sort.mdup.bam
HG02818	HG02818x02PE20379	1	good	no_comments_made	1	37	2350870	1191	1099108	147360	550861	552350	1	0.321961	17.998	0.1	bam/HG02818x02PE20379.sort.mdup.bam
HG02818	HG02818x02PE20380	1	good	no_comments_made	1	12	766438	420	332683	45112	193859	194364	1	0.321961	6.33377	0.1	bam/HG02818x02PE20380.sort.mdup.bam
HG02818	HG02818x02PE20381	1	good	no_comments_made	1	43	2847819	1642	1365803	177097	650719	652558	1	0.321961	21.2649	0.1	bam/HG02818x02PE20381.sort.mdup.bam
HG02818	HG02818x02PE20382	0	over_BrdU	2x_brdu	0	43	2604893	1323	1213371	151368	618471	620360	1	0.321961	20.2343	0.1	bam/HG02818x02PE20382.sort.mdup.bam
HG02818	HG02818x02PE20383	0	low_cov	low_cov	0	0	32145	17	499	2201	14683	14745	0	0	0	0	bam/HG02818x02PE20383.sort.mdup.bam
HG02818	HG02818x02PE20384	1	good	no_comments_made	1	32	2089478	867	1014389	120444	476279	477499	1	0.321961	15.5853	0.1	bam/HG02818x02PE20384.sort.mdup.bam
HG02818	HG02818x02PE20385	0	low_cov	"low_cov,_wgs"	0	0	30577	19	265	2349	13951	13993	0	0	0	0	bam/HG02818x02PE20385.sort.mdup.bam
HG02818	HG02818x02PE20386	0	low_cov	empty	0	0	29698	10	425	2313	13454	13496	0	0	0	0	bam/HG02818x02PE20386.sort.mdup.bam
HG02818	HG02818x02PE20387	0	low_cov	empty	0	0	16586	8	176	1231	7459	7712	0	0	0	0	bam/HG02818x02PE20387.sort.mdup.bam
HG02818	HG02818x02PE20388	1	good	no_comments_made	1	25	1530934	736	664936	93140	385567	386555	1	0.321961	12.615	0.1	bam/HG02818x02PE20388.sort.mdup.bam
HG02818	HG02818x02PE20389	0.5	low_Q	lowish_Q	0	26	1735815	1109	808311	96279	414464	415652	1	0.321961	13.5428	0.1	bam/HG02818x02PE20389.sort.mdup.bam
HG02818	HG02818x02PE20390	0.5	OK	lowish_Q	1	16	1067983	725	505498	57362	251819	252579	1	0.321961	8.22128	0.1	bam/HG02818x02PE20390.sort.mdup.bam
HG02818	HG02818x02PE20391	0	low_cov	low_cov	0	0	23510	3	368	1824	10636	10679	0	0	0	0	bam/HG02818x02PE20391.sort.mdup.bam
HG02818	HG02818x02PE20392	1	good	no_comments_made	1	33	2346921	1309	1205098	141195	498855	500464	1	0.321961	16.3085	0.1	bam/HG02818x02PE20392.sort.mdup.bam
HG02818	HG02818x02PE20393	0	low_cov	low_cov	0	0	30137	13	421	2234	13694	13775	0	0	0	0	bam/HG02818x02PE20393.sort.mdup.bam
HG02818	HG02818x02PE20394	1	good	no_comments_made	1	24	1534578	932	691008	92137	374686	375815	1	0.321961	12.2453	0.1	bam/HG02818x02PE20394.sort.mdup.bam
HG02818	HG02818x02PE20395	0	low_cov	low_cov	0	0	14023	6	185	990	6403	6439	0	0	0	0	bam/HG02818x02PE20395.sort.mdup.bam
HG02818	HG02818x02PE20396	0	low_cov	empty	0	0	5164	0	34	378	2372	2380	0	0	0	0	bam/HG02818x02PE20396.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20301	0	low_Q	low_Q	0	1	116479	59	49843	4319	30999	31259	0	0	0	0	bam/HG03125x02PE20301.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20302	0	under_BrdU	incompl_BrdU_	0	12	799304	368	361340	44652	196007	196937	1	0.101577	1.53084	0.1	bam/HG03125x02PE20302.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20303	1	good	no_comments_made	1	17	1049018	565	449208	64405	266740	268100	1	0.101577	2.0826	0.1	bam/HG03125x02PE20303.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20304	1	good	no_comments_made	1	19	1166139	676	494887	74555	297370	298651	1	0.101577	2.31774	0.1	bam/HG03125x02PE20304.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20305	0.5	OK	"some_incompl_BrdU,_but_maybe_OK"	1	17	1067771	635	466956	67481	265735	266964	1	0.101577	2.07229	0.1	bam/HG03125x02PE20305.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20306	0	under_BrdU	incompl_BrdU_	0	16	1005546	565	444774	53564	251908	254735	1	0.101577	1.98395	0.1	bam/HG03125x02PE20306.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20307	1	good	no_comments_made	1	26	1545995	752	658178	88177	398265	400623	1	0.101577	3.11732	0.1	bam/HG03125x02PE20307.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20308	0	low_cov	low_cov	0	0	85967	32	35353	4540	22963	23079	0	0	0	0	bam/HG03125x02PE20308.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20309	0	low_cov	low_cov	0	1	121323	51	51196	6752	31580	31744	0	0	0	0	bam/HG03125x02PE20309.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20310	1	OK	just_OK	1	5	348837	229	151123	21937	86936	88612	1	0.101577	0.689417	0.1	bam/HG03125x02PE20310.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20311	1	OK	just_OK	1	8	524974	306	216340	32036	137803	138489	1	0.101577	1.07502	0.1	bam/HG03125x02PE20311.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20312	1	high_Q	nice	1	32	1881909	1107	818754	109863	475012	477173	1	0.101577	3.71054	0.1	bam/HG03125x02PE20312.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20313	1	good	no_comments_made	1	12	743878	404	310945	42694	194474	195361	1	0.101577	1.52063	0.1	bam/HG03125x02PE20313.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20314	0.5	low_Q	high_bg	0	27	1619051	1261	724658	107737	391634	393761	1	0.101577	3.04466	0.1	bam/HG03125x02PE20314.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20315	1	good	no_comments_made	1	20	1174473	599	493920	70797	303969	305188	1	0.101577	2.37037	0.1	bam/HG03125x02PE20315.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20316	1	good	no_comments_made	1	25	1330677	704	466324	88226	386809	388614	1	0.101577	3.01824	0.1	bam/HG03125x02PE20316.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20317	0.5	OK	lowish_Q	1	7	453417	282	187470	29817	117490	118358	1	0.101577	0.91899	0.1	bam/HG03125x02PE20317.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20318	0	low_Q	low_Q	0	3	328867	260	145254	19327	81770	82256	1	0.101577	0.639065	0.1	bam/HG03125x02PE20318.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20319	1	good	no_comments_made	1	11	686694	381	279128	44300	181035	181850	1	0.101577	1.40954	0.1	bam/HG03125x02PE20319.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20320	0.5	low_Q	lowish_Q	0	5	360558	238	145903	19004	97485	97928	1	0.101577	0.760337	0.1	bam/HG03125x02PE20320.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20321	1	good	no_comments_made	1	23	1410510	824	609480	88595	354848	356763	1	0.101577	2.76952	0.1	bam/HG03125x02PE20321.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20322	1	good	no_comments_made	1	30	1780394	1186	773275	106538	448652	450743	1	0.101577	3.49879	0.1	bam/HG03125x02PE20322.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20323	1	good	no_comments_made	1	11	664498	332	283075	38881	170739	171471	1	0.101577	1.33323	0.1	bam/HG03125x02PE20323.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20324	0.5	OK	"some_incompl_BrdU,_but_maybe_OK"	1	29	1676476	1038	720767	99010	426866	428795	1	0.101577	3.33059	0.1	bam/HG03125x02PE20324.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20325	0	under_BrdU	incompl_BrdU_	0	17	1056343	605	461269	57901	267662	268906	1	0.101577	2.09005	0.1	bam/HG03125x02PE20325.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20326	1	good	no_comments_made	1	15	923430	479	403107	57960	230350	231534	1	0.101577	1.79712	0.1	bam/HG03125x02PE20326.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20327	1	good	no_comments_made	1	10	654397	347	289689	33745	164942	165674	1	0.101577	1.28913	0.1	bam/HG03125x02PE20327.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20328	0	under_BrdU	incompl_BrdU_	0	13	900941	395	434495	42984	211054	212013	1	0.101577	1.64946	0.1	bam/HG03125x02PE20328.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20329	1	good	no_comments_made	1	18	1187574	614	551739	69500	282218	283503	1	0.101577	2.20385	0.1	bam/HG03125x02PE20329.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20330	0	low_Q	low_Q	0	4	282131	166	102393	13900	82652	83020	1	0.101577	0.645613	0.1	bam/HG03125x02PE20330.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20331	1	good	no_comments_made	1	31	1816420	891	768583	112897	465996	468053	1	0.101577	3.63759	0.1	bam/HG03125x02PE20331.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20332	1	good	no_comments_made	1	33	1941233	1062	821750	121525	497469	499427	1	0.101577	3.8787	0.1	bam/HG03125x02PE20332.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20333	0	low_cov	low_cov	0	0	18858	10	6465	1338	5488	5557	0	0	0	0	bam/HG03125x02PE20333.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20334	1	good	no_comments_made	1	17	1057796	566	476001	63919	258121	259189	1	0.101577	2.01244	0.1	bam/HG03125x02PE20334.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20335	1	OK	some_2x_BrdU_but_OK	1	25	1405546	714	573796	85403	371746	373887	1	0.101577	2.90666	0.1	bam/HG03125x02PE20335.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20336	0	low_cov	empty	0	0	5545	10	1721	595	1555	1664	0	0	0	0	bam/HG03125x02PE20336.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20337	0	low_Q	low_Q	0	0	72494	38	25894	3180	21639	21743	0	0	0	0	bam/HG03125x02PE20337.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20338	1	high_Q	nice	1	23	1368789	661	587006	80031	349841	351250	1	0.101577	2.73035	0.1	bam/HG03125x02PE20338.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20339	1	good	no_comments_made	1	26	1560899	862	674880	91249	395973	397935	1	0.101577	3.09464	0.1	bam/HG03125x02PE20339.sort.mdup.bam
HCLYJAFX2_HG03125_20s001801-1-1	HG03125x02PE20340	0	low_Q	low_Q	0	3	246238	120	108185	13234	62209	62490	1	0.101577	0.486145	0.1	bam/HG03125x02PE20340.sort.mdup.bam
